show,season,episode,air_date,title,rating,votes,episode_number,last_episode_number
Psych,7,1,2013-02-27,Santabarbaratown 2,8.6,818,96,1
Psych,7,2,2013-03-06,Juliet Takes a Luvvah,8.2,621,97,2
Psych,7,3,2013-03-13,Lassie Jerky,8.5,839,98,3
Psych,7,4,2013-03-20,No Country for Two Old Men,8.2,621,99,4
Psych,7,5,2013-03-27,100 Clues,8.9,963,100,5
Psych,7,6,2013-04-03,Cirque du Soul,7.7,569,101,6
Psych,7,7,2013-04-10,Deez Nups,8.9,738,102,7
Psych,7,8,2013-04-17,Right Turn or Left for Dead,8.4,639,103,8
Psych,7,9,2013-04-24,Juliet Wears the Pantsuit,8,534,104,9
Psych,7,10,2013-05-01,Santa Barbarian Candidate,8,542,105,10
Psych,7,11,2013-05-08,Office Space,9.1,818,106,11
Psych,7,12,2013-05-15,Dead Air,7.8,542,107,12
Psych,7,13,2013-05-22,Nip and Suck It,7.8,507,108,13
Psych,7,14,2013-05-29,No Trout About It,8.2,542,109,14
Psych,7,15,2013-12-15,Psych the Musical,8.2,1054,110,15
Psych,8,1,2014-01-08,"Lock, Stock, Some Smoking Barrels and Burton Guster's Goblet of Fire",8.6,761,111,16
Psych,8,2,2014-01-15,S.E.I.Z.E. the Day,8.1,606,112,17
Psych,8,3,2014-01-22,Remake A.K.A. Cloudy... With a Chance of Improvement,7.7,740,113,18
Psych,8,4,2014-01-29,Someone's Got a Woody,7.9,537,114,19
Psych,8,5,2014-02-05,Cog Blocked,8.2,551,115,20
Psych,8,6,2014-02-26,1967: A Psych Odyssey,7.8,538,116,21
Psych,8,7,2014-03-05,Shawn and Gus Truck Things Up,7.8,527,117,22
Psych,8,8,2014-03-12,A Touch of Sweevil,7.9,515,118,23
Psych,8,9,2014-03-19,A Nightmare on State Street,6.4,899,119,24
Psych,8,10,2014-03-26,The Break-Up,9.5,1396,120,25
24,7,24,2009-05-18,Day 7: 7:00 a.m.-8:00 a.m.,8.7,951,171,1
24,8,1,2010-01-17,Day 8: 4:00 p.m.-5:00 p.m.,8.2,1078,172,2
24,8,2,2010-01-17,Day 8: 5:00 p.m.-6:00 p.m.,8,848,173,3
24,8,3,2010-01-18,Day 8: 6:00 p.m.-7:00 p.m.,8.2,811,174,4
24,8,4,2010-01-18,Day 8: 7:00 p.m.-8:00 p.m.,8.2,817,175,5
24,8,5,2010-01-25,Day 8: 8:00 p.m.-9:00 p.m.,8,806,176,6
24,8,6,2010-02-01,Day 8: 9:00 p.m.-10:00 p.m.,8,789,177,7
24,8,7,2010-02-08,Day 8: 10:00 p.m.-11:00 p.m.,8.1,767,178,8
24,8,8,2010-02-15,Day 8: 11:00 p.m.-12:00 a.m.,8.1,751,179,9
24,8,9,2010-02-22,Day 8: 12:00 a.m.-1:00 a.m.,7.8,777,180,10
24,8,10,2010-03-01,Day 8: 1:00 a.m.-2:00 a.m.,7.9,754,181,11
24,8,11,2010-03-08,Day 8: 2:00 a.m.-3:00 a.m.,8.1,762,182,12
24,8,12,2010-03-15,Day 8: 3:00 a.m.-4:00 a.m.,8.6,796,183,13
24,8,13,2010-03-22,Day 8: 4:00 a.m.-5:00 a.m.,8.1,763,184,14
24,8,14,2010-03-29,Day 8: 5:00 a.m.-6:00 a.m.,8.2,749,185,15
24,8,15,2010-04-05,Day 8: 6:00 a.m.-7:00 a.m.,8.5,758,186,16
24,8,16,2010-04-05,Day 8: 7:00 a.m.-8:00 a.m.,9,858,187,17
24,8,17,2010-04-12,Day 8: 8:00 a.m.-9:00 a.m.,8.7,832,188,18
24,8,18,2010-04-19,Day 8: 9:00 a.m.-10:00 a.m.,8.4,769,189,19
24,8,19,2010-04-26,Day 8: 10:00 a.m.-11:00 a.m.,8.1,770,190,20
24,8,20,2010-05-03,Day 8: 11:00 a.m.-12:00 p.m.,8.6,798,191,21
24,8,21,2010-05-10,Day 8: 12:00 p.m.-1:00 p.m.,8.9,827,192,22
24,8,22,2010-05-17,Day 8: 1:00 p.m.-2:00 p.m.,9.1,944,193,23
24,8,23,2010-05-24,Day 8: 2:00 p.m.-3:00 p.m.,9,889,194,24
24,8,24,2010-05-24,Day 8: 3:00 p.m.-4:00 p.m.,9.1,1328,195,25
Scrubs,8,8,2009-02-03,My Lawyer's in Love,8.5,726,158,1
Scrubs,8,9,2009-02-10,My Absence,7.7,604,159,2
Scrubs,8,10,2009-02-10,My Comedy Show,7.8,593,160,3
Scrubs,8,11,2009-03-18,My Nah Nah Nah,7.7,620,161,4
Scrubs,8,12,2009-03-25,Their Story II,7.7,603,162,5
Scrubs,8,13,2009-04-01,My Full Moon,7.8,638,163,6
Scrubs,8,14,2009-04-08,My Soul on Fire: Part 1,8,659,164,7
Scrubs,8,15,2009-04-15,My Soul on Fire: Part 2,8.3,729,165,8
Scrubs,8,16,2009-04-22,My Cuz,7.9,603,166,9
Scrubs,8,17,2009-05-05,My Chief Concern,8.3,643,167,10
Scrubs,8,18,2009-05-06,My Finale: Part 1,9.3,1557,168,11
Scrubs,8,19,2009-05-06,My Finale: Part 2,9.8,3708,169,12
Scrubs,9,1,2009-12-01,Our First Day of School,6.6,756,170,13
Scrubs,9,2,2009-12-01,Our Drunk Friend,6.6,606,171,14
Scrubs,9,3,2009-12-08,Our Role Models,6.5,560,172,15
Scrubs,9,4,2009-12-15,Our Histories,6.6,516,173,16
Scrubs,9,5,2009-12-22,Our Mysteries,6.2,484,174,17
Scrubs,9,6,2010-01-01,Our New Girl-Bro,6.1,484,175,18
Scrubs,9,7,2010-01-05,Our White Coats,6.2,484,176,19
Scrubs,9,8,2010-01-05,Our Couples,5.9,501,177,20
Scrubs,9,9,2010-01-12,Our Stuff Gets Real,6.5,498,178,21
Scrubs,9,10,2010-01-19,Our True Lies,6.3,471,179,22
Scrubs,9,11,2010-01-26,Our Dear Leaders,5.9,478,180,23
Scrubs,9,12,2010-03-10,Our Driving Issues,6,483,181,24
Scrubs,9,13,2010-03-17,Our Thanks,6.1,553,182,25
Homeland,6,12,2017-04-09,America First,8.2,2280,72,1
Homeland,7,1,2018-02-11,Enemy of the State,7.7,1821,73,2
Homeland,7,2,2018-02-18,Rebel Rebel,7.7,1653,74,3
Homeland,7,3,2018-02-25,Standoff,7.6,1509,75,4
Homeland,7,4,2018-03-04,Like Bad at Things,8.7,1851,76,5
Homeland,7,5,2018-03-11,Active Measures,7.8,1475,77,6
Homeland,7,6,2018-03-18,Species Jump,8.4,1616,78,7
Homeland,7,7,2018-03-25,Andante,8,1458,79,8
Homeland,7,8,2018-04-01,"Lies, Amplifiers, Fucking Twitter",8.3,1483,80,9
Homeland,7,9,2018-04-08,Useful Idiot,8.7,1801,81,10
Homeland,7,10,2018-04-15,Clarity,7.9,1472,82,11
Homeland,7,11,2018-04-22,All In,8.9,1996,83,12
Homeland,7,12,2018-04-29,Paean to the People,8.4,1864,84,13
Homeland,8,1,2020-02-09,Deception Indicated,8.1,1442,85,14
Homeland,8,2,2020-02-16,Catch and Release,8.2,1226,86,15
Homeland,8,3,2020-02-23,False Friends,8.1,1152,87,16
Homeland,8,4,2020-03-01,Chalk One Up,9,1487,88,17
Homeland,8,5,2020-03-08,Chalk Two Down,9.1,1419,89,18
Homeland,8,6,2020-03-15,Two Minutes,8.5,1180,90,19
Homeland,8,7,2020-03-22,F**ker Shot Me,8.3,1147,91,20
Homeland,8,8,2020-03-29,Threnody(s),8.6,1232,92,21
Homeland,8,9,2020-04-05,In Full Flight,8.6,1150,93,22
Homeland,8,10,2020-04-12,Designated Driver,8.8,1343,94,23
Homeland,8,11,2020-04-19,The English Teacher,9.1,1523,95,24
Homeland,8,12,2020-04-26,Prisoners of War,9.5,3558,96,25
Prison Break,4,9,2008-11-03,Greatness Achieved,8.8,2637,66,1
Prison Break,4,10,2008-11-10,The Legend,8.1,2280,67,2
Prison Break,4,11,2008-11-17,Quiet Riot,8.5,2371,68,3
Prison Break,4,12,2008-11-24,Selfless,9,2916,69,4
Prison Break,4,13,2008-12-01,Deal or No Deal,8.3,2278,70,5
Prison Break,4,14,2008-12-08,Just Business,8.1,2256,71,6
Prison Break,4,15,2008-12-15,Going Under,7.9,2220,72,7
Prison Break,4,16,2008-12-22,The Sunshine State,7.8,2319,73,8
Prison Break,4,17,2009-04-17,The Mother Lode,7.7,2325,74,9
Prison Break,4,18,2009-04-24,VS.,7.6,2224,75,10
Prison Break,4,19,2009-05-01,S.O.B.,7.7,2184,76,11
Prison Break,4,20,2009-05-08,Cowboys and Indians,8.2,2225,77,12
Prison Break,4,21,2009-05-15,Rates of Exchange,8.4,2262,78,13
Prison Break,4,22,2009-05-15,Killing Your Number,9,3280,79,14
Prison Break,4,23,2009-05-24,The Old Ball and Chain,8,2148,80,15
Prison Break,4,24,2009-05-24,Free,8.6,2752,81,16
Prison Break,5,1,2017-04-04,Ogygia,8.6,6781,82,17
Prison Break,5,2,2017-04-11,Kaniel Outis,8.4,4661,83,18
Prison Break,5,3,2017-04-18,The Liar,8.2,3882,84,19
Prison Break,5,4,2017-04-25,The Prisoner's Dilemma,8.8,4029,85,20
Prison Break,5,5,2017-05-02,Contingency,7.9,3208,86,21
Prison Break,5,6,2017-05-09,Phaecia,7.7,2943,87,22
Prison Break,5,7,2017-05-16,Wine Dark Sea,8.1,2956,88,23
Prison Break,5,8,2017-05-23,Progeny,8.8,3397,89,24
Prison Break,5,9,2017-05-30,Behind the Eyes,8.5,3617,90,25
Lost,5,10,2009-03-25,He's Our You,8.5,3609,94,1
Lost,5,11,2009-04-01,"Whatever Happened, Happened",8.4,3619,95,2
Lost,5,12,2009-04-08,Dead Is Dead,8.8,3858,96,3
Lost,5,13,2009-04-15,Some Like It Hoth,8.3,3357,97,4
Lost,5,14,2009-04-29,The Variable,8.8,4021,98,5
Lost,5,15,2009-05-06,Follow the Leader,8.7,3683,99,6
Lost,5,16,2009-05-16,The Incident: Part 1,9.2,5378,100,7
Lost,5,17,2009-05-13,The Incident: Part 2,9.2,3257,101,8
Lost,6,1,2010-02-02,LA X - Part 1,8.7,4524,102,9
Lost,6,2,2010-02-02,LA X - Part 2,8.5,2615,103,10
Lost,6,3,2010-02-09,What Kate Does,7.7,3817,104,11
Lost,6,4,2010-02-16,The Substitute,8.4,3514,105,12
Lost,6,5,2010-02-23,Lighthouse,8.1,3458,106,13
Lost,6,6,2010-03-02,Sundown,8.1,3370,107,14
Lost,6,7,2010-03-09,Dr. Linus,8.5,3501,108,15
Lost,6,8,2010-03-16,Recon,7.9,3456,109,16
Lost,6,9,2010-03-23,Ab Aeterno,9.3,5645,110,17
Lost,6,10,2010-03-30,The Package,7.9,3389,111,18
Lost,6,11,2010-04-06,Happily Ever After,8.9,4204,112,19
Lost,6,12,2010-04-13,Everybody Loves Hugo,8.5,3494,113,20
Lost,6,13,2010-04-20,The Last Recruit,8.2,3442,114,21
Lost,6,14,2010-05-04,The Candidate,8.9,4443,115,22
Lost,6,15,2010-05-11,Across the Sea,8.2,4578,116,23
Lost,6,16,2010-05-18,What They Died For,8.7,3997,117,24
Lost,6,17,2010-05-23,The End,8.2,9800,118,25
How I Met Your Mother,8,24,2013-05-13,Something New,8.8,3520,184,1
How I Met Your Mother,9,1,2013-09-23,The Locket,7.8,3276,185,2
How I Met Your Mother,9,2,2013-09-23,Coming Back,7.7,2864,186,3
How I Met Your Mother,9,3,2013-09-30,Last Time in New York,7.6,2720,187,4
How I Met Your Mother,9,4,2013-10-07,The Broken Code,7.3,2625,188,5
How I Met Your Mother,9,5,2013-10-14,The Poker Game,7.2,2608,189,6
How I Met Your Mother,9,6,2013-10-21,Knight Vision,7.5,2586,190,7
How I Met Your Mother,9,7,2013-10-28,No Questions Asked,7.4,2621,191,8
How I Met Your Mother,9,8,2013-11-04,The Lighthouse,7.3,2647,192,9
How I Met Your Mother,9,9,2013-11-11,Platonish,8.3,3037,193,10
How I Met Your Mother,9,10,2013-11-18,Mom and Dad,6.7,2756,194,11
How I Met Your Mother,9,11,2013-11-25,Bedtime Stories,5.7,4568,195,12
How I Met Your Mother,9,12,2013-12-02,The Rehearsal Dinner,7.8,2882,196,13
How I Met Your Mother,9,13,2013-12-16,Bass Player Wanted,8.3,2942,197,14
How I Met Your Mother,9,14,2014-01-13,Slapsgiving 3: Slappointment in Slapmarra,5.9,4647,198,15
How I Met Your Mother,9,15,2014-01-20,Unpause,8.4,3069,199,16
How I Met Your Mother,9,16,2014-01-27,How Your Mother Met Me,9.5,8371,200,17
How I Met Your Mother,9,17,2014-02-03,Sunrise,8.2,3214,201,18
How I Met Your Mother,9,18,2014-02-24,Rally,8,2646,202,19
How I Met Your Mother,9,19,2014-03-03,Vesuvius,7.7,2690,203,20
How I Met Your Mother,9,20,2014-03-10,Daisy,8.5,2987,204,21
How I Met Your Mother,9,21,2014-03-17,Gary Blauman,8.3,3077,205,22
How I Met Your Mother,9,22,2014-03-24,The End of the Aisle,8.9,3977,206,23
How I Met Your Mother,9,23,2014-03-31,Last Forever: Part One,6.7,8837,207,24
How I Met Your Mother,9,24,2014-03-31,Last Forever: Part Two,5.5,16221,208,25
The Americans,4,12,2016-06-01,A Roy Rogers in Franconia,8.5,921,51,1
The Americans,4,13,2016-06-08,Persona Non Grata,8.5,1013,52,2
The Americans,5,1,2017-03-07,Amber Waves,8.3,1054,53,3
The Americans,5,2,2017-03-14,Pests,7.9,902,54,4
The Americans,5,3,2017-03-21,The Midges,8.2,889,55,5
The Americans,5,4,2017-03-28,What's the Matter with Kansas?,7.9,863,56,6
The Americans,5,5,2017-04-04,Lotus 1-2-3,8.4,893,57,7
The Americans,5,6,2017-04-11,Crossbreed,8.1,848,58,8
The Americans,5,7,2017-04-18,The Committee on Human Rights,8,832,59,9
The Americans,5,8,2017-04-25,Immersion,7.8,812,60,10
The Americans,5,9,2017-05-02,IHOP,8,818,61,11
The Americans,5,10,2017-05-09,Darkroom,8.3,872,62,12
The Americans,5,11,2017-05-16,Dyatkovo,8.8,937,63,13
The Americans,5,12,2017-05-23,The World Council of Churches,8.2,807,64,14
The Americans,5,13,2017-05-30,The Soviet Division,8.3,868,65,15
The Americans,6,1,2018-03-28,Dead Hand,8.9,1205,66,16
The Americans,6,2,2018-04-04,Tchaikovsky,8.3,991,67,17
The Americans,6,3,2018-04-11,Urban Transport Planning,8.5,941,68,18
The Americans,6,4,2018-04-18,Mr. and Mrs. Teacup,8.4,917,69,19
The Americans,6,5,2018-04-25,The Great Patriotic War,9.3,1170,70,20
The Americans,6,6,2018-05-02,Rififi,8.9,1030,71,21
The Americans,6,7,2018-05-09,Harvest,9.4,1256,72,22
The Americans,6,8,2018-05-16,The Summit,9.2,1066,73,23
The Americans,6,9,2018-05-23,"Jennings, Elizabeth",9.6,1431,74,24
The Americans,6,10,2018-05-30,START,9.8,2979,75,25
Stargate SG-1,9,16,2006-02-10,Off the Grid,7.5,623,189,1
Stargate SG-1,9,17,2006-02-17,The Scourge,7,649,190,2
Stargate SG-1,9,18,2006-02-24,Arthur's Mantle,7.9,636,191,3
Stargate SG-1,9,19,2006-03-03,Crusade,8,648,192,4
Stargate SG-1,9,20,2006-03-10,Camelot,8.7,738,193,5
Stargate SG-1,10,1,2006-11-02,Flesh and Blood,8.5,731,194,6
Stargate SG-1,10,2,2006-11-09,Morpheus,7.7,667,195,7
Stargate SG-1,10,3,2006-11-16,The Pegasus Project,9.1,889,196,8
Stargate SG-1,10,4,2006-11-23,Insiders,7.6,652,197,9
Stargate SG-1,10,5,2006-11-30,Uninvited,7.2,648,198,10
Stargate SG-1,10,6,2006-12-07,200,8.6,1316,199,11
Stargate SG-1,10,7,2006-12-14,Counterstrike,8.2,681,200,12
Stargate SG-1,10,8,2006-12-21,Memento Mori,7.7,685,201,13
Stargate SG-1,10,9,NA,Company of Thieves,7.7,633,202,14
Stargate SG-1,10,10,2006-09-22,The Quest: Part 1,8.7,729,203,15
Stargate SG-1,10,11,2007-01-10,The Quest: Part 2,8.8,726,204,16
Stargate SG-1,10,12,2007-01-16,Line in the Sand,7.7,649,205,17
Stargate SG-1,10,13,2007-01-23,The Road Not Taken,7.8,684,206,18
Stargate SG-1,10,14,2007-01-30,The Shroud,8.8,764,207,19
Stargate SG-1,10,15,2007-02-06,Bounty,7.9,671,208,20
Stargate SG-1,10,16,2007-02-13,Bad Guys,8.2,742,209,21
Stargate SG-1,10,17,2007-02-20,Talion,7.4,640,210,22
Stargate SG-1,10,18,2007-02-27,Family Ties,6.8,685,211,23
Stargate SG-1,10,19,2007-06-15,Dominion,8.4,676,212,24
Stargate SG-1,10,20,2007-03-13,Unending,9.1,1326,213,25
The Legend of Korra,3,2,2014-06-27,Rebirth,8.7,1516,28,1
The Legend of Korra,3,3,2014-06-27,The Earth Queen,8.4,1506,29,2
The Legend of Korra,3,4,2014-07-11,In Harm's Way,8.6,1460,30,3
The Legend of Korra,3,5,2014-07-11,The Metal Clan,8.6,1462,31,4
The Legend of Korra,3,6,2014-07-18,Old Wounds,8.6,1456,32,5
The Legend of Korra,3,7,2014-07-18,Original Airbenders,8.3,1484,33,6
The Legend of Korra,3,8,2014-07-25,The Terror Within,8.9,1499,34,7
The Legend of Korra,3,9,2014-08-01,The Stakeout,8.8,1483,35,8
The Legend of Korra,3,10,2014-08-07,Long Live the Queen,9,1637,36,9
The Legend of Korra,3,11,2014-08-15,The Ultimatum,9.3,2233,37,10
The Legend of Korra,3,12,2014-08-22,Enter the Void,9.4,2067,38,11
The Legend of Korra,3,13,2014-08-22,Venom of the Red Lotus,9.6,2752,39,12
The Legend of Korra,4,1,2014-10-03,After All These Years,8.7,1565,40,13
The Legend of Korra,4,2,2014-10-10,Korra Alone,9.3,1827,41,14
The Legend of Korra,4,3,2014-10-17,The Coronation,8.5,1319,42,15
The Legend of Korra,4,4,2014-10-24,The Calling,8.7,1327,43,16
The Legend of Korra,4,5,2014-10-31,Enemy at the Gates,8.6,1278,44,17
The Legend of Korra,4,6,2014-11-07,The Battle of Zaofu,8.6,967,45,18
The Legend of Korra,4,7,2014-11-14,Reunion,8.3,953,46,19
The Legend of Korra,4,8,2014-11-21,Remembrances,6,1148,47,20
The Legend of Korra,4,9,2014-11-28,Beyond the Wilds,8.6,1012,48,21
The Legend of Korra,4,10,2014-12-05,Operation Beifong,9,1098,49,22
The Legend of Korra,4,11,2014-12-12,Kuvira's Gambit,8.8,1005,50,23
The Legend of Korra,4,12,2014-12-19,Day of the Colossus,9.2,1330,51,24
The Legend of Korra,4,13,2014-12-19,The Last Stand,9.1,1764,52,25
Entourage,6,6,2009-08-16,Murphy's Lie,8,582,72,1
Entourage,6,7,2009-08-23,No More Drama,8.1,586,73,2
Entourage,6,8,2009-08-30,The Sorkin Notes,8.3,584,74,3
Entourage,6,9,2009-09-13,Security Briefs,8,567,75,4
Entourage,6,10,2009-09-20,Berried Alive,8.1,569,76,5
Entourage,6,11,2009-09-27,Scared Straight,8.3,591,77,6
Entourage,6,12,2009-10-04,Give a Little Bit,9.3,1044,78,7
Entourage,7,1,2010-06-27,Stunted,8,699,79,8
Entourage,7,2,2010-07-11,Buzzed,7.9,602,80,9
Entourage,7,3,2010-07-18,Dramedy,7.6,563,81,10
Entourage,7,4,2010-07-25,Tequila Sunrise,8,565,82,11
Entourage,7,5,2010-08-01,Bottoms Up,8.2,577,83,12
Entourage,7,6,2010-08-08,Hair,8,570,84,13
Entourage,7,7,2010-08-15,Tequila and Coke,7.9,584,85,14
